1207	38	steel	
1208	38	stooped	
1209	38	stronger	
1210	38	supper	
1211	38	tears	
1212	38	thunder	
1213	38	victory	
1214	38	watching	
1215	38	weight	
1216	38	willing	
1217	37	afternoon	
1218	37	allowed	
1219	37	bearing	
1220	37	brow	
1221	37	dare	
1222	37	emyn	
1223	37	fellow	
1224	37	finger	
1225	37	glorfindel	
1226	37	k	
1227	37	lad	
1228	37	luck	
1229	37	prepared	
1230	37	shelob	
1231	37	ship	
1232	37	smooth	
1233	37	sorry	
1234	37	spread	
1235	37	task	
1236	37	ugl	
1237	37	wondering	
1238	36	account	
1239	36	begun	
1240	36	burst	
1241	36	carry	
1242	36	clean	
1243	36	cloaks	
1244	36	horror	
1245	36	hurry	
1246	36	important	
1247	36	inn	
1248	36	leader	
1249	36	lines	
1250	36	music	
1251	36	search	
1252	36	southern	
1253	36	steward	
1254	36	swept	
1255	36	twisted	
1256	36	wandering	
1257	36	wet	
1258	35	advice	
1259	35	amroth	
1260	35	buckland	
1261	35	chain	
1262	35	clearly	
1263	35	content	
1264	35	desperate	
1265	35	dike	
1266	35	drove	
1267	35	fighting	
1268	35	fly	
1269	35	fortune	
1270	35	friendship	
1271	35	glance	
1272	35	higher	
1273	35	hundreds	
1274	35	looks	
1275	35	meeting	
1276	35	pardon	
1277	35	pipe	
1278	35	skill	
1279	35	stumbled	
1280	35	summer	
1281	35	therefore	
1282	35	torches	
1283	35	touched	
1284	35	twice	
1285	35	written	
1286	34	afar	
1287	34	birthday	
1288	34	certain	
1289	34	figures	
1290	34	fresh	
1291	34	imrahil	
1292	34	language	
1293	34	message	
1294	34	muil	
1295	34	older	
1296	34	osgiliath	
1297	34	parts	
1298	34	prince	
1299	34	serve	
1300	34	shield	
1301	34	struck	
1302	34	thank	
1303	34	throat	
1304	34	twilight	
1305	34	whisper	
1306	34	wrapped	
1307	33	abroad	
1308	33	added	
1309	33	assault	
1310	33	ate	
1311	33	beat	
1312	33	brandywine	
1313	33	breakfast	
1314	33	camp	
1315	33	catch	
1316	33	cover	
1317	33	crawling	
1318	33	effort	
1319	33	flight	
1320	33	gap	
1321	33	gazing	
1322	33	grishnbkh	
1323	33	hissed	
1324	33	naught	
1325	33	nigh	
1326	33	number	
1327	33	prove	
1328	33	race	
1329	33	rumour	
1330	33	silently	
1331	33	spare	
1332	33	v	
1333	33	waking	
1334	33	wandered	
1335	32	anyone	
1336	32	bid	
1337	32	bones	
1338	32	boughs	
1339	32	draw	
1340	32	endless	
1341	32	endure	
1342	32	finished	
1343	32	fit	
1344	32	fords	
1345	32	glimpse	
1346	32	goldberry	
1347	32	halfling	
1348	32	halls	
1349	32	halt	
1350	32	horrible	
1351	32	knights	
1352	32	knowing	
1353	32	lake	
1354	32	malice	
1355	32	meriadoc	
1356	32	messenger	
1357	32	mortal	
1358	32	mounted	
1359	32	nonetheless	
1360	32	peering	
1361	32	promised	
1362	32	quest	
1363	32	rested	
1364	32	shout	
1365	32	sons	
1366	32	sounds	
1367	32	spear	
1368	32	thee	
1369	32	waste	
1370	32	wholly	
1371	31	altogether	
1372	31	creatures	
1373	31	defence	
1374	31	direction	
1375	31	ending	
1376	31	eyed	
1377	31	fading	
1378	31	fate	
1379	31	flash	
1380	31	gildor	
1381	31	hilt	
1382	31	labour	
1383	31	lonely	
1384	31	minds	
1385	31	nights	
1386	31	noticed	
1387	31	pocket	
1388	31	reason	
1389	31	smell	
1390	31	spell	
1391	31	stern	
1392	31	stooping	
1393	31	surely	
1394	31	talked	
1395	31	village	
1396	31	wouldn	
1397	30	afterwards	
1398	30	backs	
1399	30	bird	
1400	30	brother	
1401	30	cirith	
1402	30	claim	
1403	30	courage	
1404	30	delight	
1405	30	dell	
1406	30	dimly	
1407	30	dismay	
1408	30	ease	
1409	30	fail	
1410	30	feast	
1411	30	fog	
1412	30	glimmering	
1413	30	gorbag	
1414	30	having	
1415	30	heed	
1416	30	hm	
1417	30	hoofs	
1418	30	hurrying	
1419	30	knowledge	
1420	30	laughter	
1421	30	leaning	
1422	30	limbs	
1423	30	marching	
1424	30	matters	
1425	30	meaning	
1426	30	nob	
1427	30	ordered	
1428	30	parting	
1429	30	pit	
1430	30	plan	
1431	30	pleased	
1432	30	putting	
1433	30	reckon	
1434	30	ruined	
1435	30	seeking	
1436	30	shores	
1437	30	thousand	
1438	30	worst	
1439	29	bagginses	
1440	29	caves	
1441	29	chosen	
1442	29	cliffs	
1443	29	depart	
1444	29	doesn	
1445	29	dull	
1446	29	dyr	
1447	29	easier	
1448	29	eorl	
1449	29	fish	
1450	29	flung	
1451	29	gentle	
1452	29	gleaming	
1453	29	hewn	
1454	29	kindled	
1455	29	laden	
1456	29	lose	
1457	29	nedain	
1458	29	picked	
1459	29	pillars	
1460	29	plainly	
1461	29	proved	
1462	29	remote	
1463	29	saved	
1464	29	setting	
1465	29	sought	
1466	29	strode	
1467	29	struggled	
1468	29	stuff	
1469	29	thither	
1470	29	vision	
1471	29	wasn	
1472	29	weathertop	
1473	29	worn	
1474	28	angry	
1475	28	banner	
1476	28	barad	
1477	28	brandybuck	
1478	28	bye	
1479	28	concerning	
1480	28	debate	
1481	28	deeply	
1482	28	disappeared	
1483	28	dreams	
1484	28	eager	
1485	28	ends	
1486	28	family	
1487	28	finding	
1488	28	harsh	
1489	28	hunting	
1490	28	hurried	
1491	28	kindred	
1492	28	loose	
1493	28	madness	
1494	28	menor	
1495	28	mounds	
1496	28	peered	
1497	28	pleasant	
1498	28	please	
1499	28	praise	
1500	28	pressed	
1501	28	promise	
1502	28	question	
1503	28	reckoning	
1504	28	removed	
1505	28	ships	
1506	28	someone	
1507	28	sounded	
1508	28	stout	
1509	28	strike	
1510	28	troll	
1511	28	understood	
1512	28	winged	
1513	27	amazement	
1514	27	anger	
1515	27	autumn	
1516	27	bay	
1517	27	beer	
1518	27	bending	
1519	27	blind	
1520	27	bread	
1521	27	cave	
1522	27	creeping	
1523	27	cunning	
1524	27	curse	
1525	27	decided	
1526	27	dying	
1527	27	eaten	
1528	27	elder	
1529	27	fie	
1530	27	hasty	
1531	27	hood	
1532	27	hosts	
1533	27	journeyed	
1534	27	lads	
1535	27	laugh	
1536	27	leaping	
1537	27	loss	
1538	27	loved	
1539	27	mirror	
1540	27	mostly	
1541	27	named	
1542	27	otherwise	
1543	27	passes	
1544	27	pay	
1545	27	perils	
1546	27	plunged	
1547	27	pointed	
1548	27	rauros	
1549	27	revealed	
1550	27	rim	
1551	27	rough	
1552	27	samwise	
1553	27	seized	
1554	27	six	
1555	27	slender	
1556	27	smile	
1557	27	sorrow	
1558	27	stayed	
1559	27	stiff	
1560	27	sunset	
1561	27	tongues	
1562	27	treasure	
1563	27	unseen	
1564	27	watchers	
1565	27	yonder	
1566	27	yours	
1567	26	barren	
1568	26	companion	
1569	26	crowned	
1570	26	drank	
1571	26	draught	
1572	26	evidently	
1573	26	ferny	
1574	26	fierce	
1575	26	hate	
1576	26	hornburg	
1577	26	joined	
1578	26	knelt	
1579	26	leaned	
1580	26	lightning	
1581	26	manner	
1582	26	peaks	
1583	26	pelennor	
1584	26	pierced	
1585	26	piled	
1586	26	points	
1587	26	quicker	
1588	26	rise	
1589	26	shadowy	
1590	26	spent	
1591	26	swung	
1592	26	token	
1593	26	trumpets	
1594	26	worth	
1595	25	according	
1596	25	actually	
1597	25	anxious	
1598	25	balin	
1599	25	bend	
1600	25	breaking	
1601	25	careful	
1602	25	carved	
1603	25	clothes	
1604	25	couldn	
1605	25	court	
1606	25	cracked	
1607	25	crossing	
1608	25	daughter	
1609	25	delay	
1610	25	discovered	
1611	25	entwash	
1612	25	events	
1613	25	folly	
1614	25	glittering	
1615	25	grave	
1616	25	halflings	
1617	25	kindly	
1618	25	means	
1619	25	mere	
1620	25	mood	
1621	25	nightfall	
1622	25	openly	
1623	25	ourselves	
1624	25	pursuit	
1625	25	rangers	
1626	25	shouting	
1627	25	spot	
1628	25	weapon	
1629	25	wine	
1630	25	withered	
1631	24	amon	
1632	24	beard	
1633	24	bushes	
1634	24	clearer	
1635	24	cleft	
1636	24	cloven	
1637	24	clutching	
1638	24	common	
1639	24	craft	
1640	24	cup	
